variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
live,4,iyi,overtime,-320,0.0,0.0,0.0,300,3.5,1.0,-15,-0.8,0.0,0.2,0.1,-0.1,0,0,0.2,0,-0.1,-1.7,0.0,0.1,0.2,61.8,25.0,129.8,140.9,160,16.0
live,4,iyi,prestige_master,-423,0.0,0.0,0.0,938,6.4,1.0,518,4.0,0.1,0.2,0.2,0.0,0,0,0.1,0,-0.1,0.0,0.0,0.1,0.1,61.8,25.0,129.8,140.9,160,16.0
live,4,iyi,null_fast_hangar,-341,0.0,0.0,0.0,300,6.2,1.0,-40,-0.1,0.0,0.1,-0.2,0.0,0,0,0.1,0,-0.2,-0.2,0.0,0.1,0.1,61.8,25.0,129.8,140.9,160,16.0
live,4,iyi,null_overtime,-231,0.0,0.0,0.0,300,3.5,1.0,74,0.1,0.2,0.3,0.5,0.3,0,0,-0.3,0,0.3,-0.2,0.0,0.2,0.2,61.8,25.0,129.8,140.9,160,16.0
live,4,iyi,null_prestige_master,-924,0.0,0.0,0.0,938,6.4,1.0,16,-0.1,0.1,0.2,0.2,0.0,0,0,0.1,0,-0.1,0.0,0.0,0.1,0.1,61.8,25.0,129.8,140.9,160,16.0
live,4,iyi,extra_hangar,1850,0.0,0.0,0.0,500,4.0,1.0,2381,-6.8,41.3,-4.6,20.8,-8.1,0,0,8.1,0,-0.5,-0.9,0.0,0.7,0.6,61.8,25.0,129.8,140.9,160,16.0
live,4,iyi,gambler_case,1234,0.0,0.0,0.0,875,7.1,1.0,2173,-0.0,0.0,-0.1,-0.8,-0.1,0,0,0.1,0,-0.4,0.0,0.0,0.1,0.2,61.8,25.0,129.8,140.9,160,16.0
prop_pm035,1,zayif,fast_hangar,2,9.0,29.5,20.5,83,7.0,0.69,-3,-0.1,1.1,-0.1,-0.1,-0.5,-0.7,-0.6,-0.2,0.0,-0.5,-0.1,-0.1,0.0,-0.1,38.2,12.5,22.9,39.4,75.6,14.5
prop_pm035,1,zayif,overtime,26,4.5,25.0,20.5,120,1,1.0,105,0.8,2.1,1.1,1.7,0.4,-0.6,-1.4,-1.0,-0.8,2.6,0.2,0.8,0.5,0.3,38.2,12.5,22.9,39.4,75.6,14.5
prop_pm035,1,zayif,prestige_master,-7,10.0,30.5,20.5,112,7.6,0.53,13,4.3,-0.3,-0.2,-0.3,-0.3,-0.5,-0.5,-0.2,0.0,-0.4,0.0,-0.1,0.1,-0.1,38.2,12.5,22.9,39.4,75.6,14.5
prop_pm035,1,orta,fast_hangar,-90,0.0,0.0,0.0,120,5.5,1.0,38,-0.7,2.7,0.0,0.7,-0.9,-0.1,0,0.8,0.1,-0.9,0.1,-0.1,0.2,-0.2,41.7,22.5,37.4,48.6,77,15.2
prop_pm035,1,orta,overtime,42,0.0,0.0,0.0,120,1,1.0,155,0.4,2.5,1.3,2.4,0.0,0.4,0,0.4,-0.4,1.9,0.4,0.4,0.3,0.1,41.7,22.5,37.4,48.6,77,15.2
prop_pm035,1,orta,prestige_master,-194,0.2,0.2,0.0,370,5.9,1.0,167,18.7,0.0,-0.1,-0.2,-0.3,0.0,0,0.3,0.0,0.0,-0.1,0.0,0.0,-0.3,41.7,22.5,37.4,48.6,77,15.2
prop_pm035,1,iyi,fast_hangar,-46,0.0,0.0,0.0,120,5.0,1.0,66,0.1,1.7,0.4,1.0,-0.1,0.0,0,0.1,0.0,0.3,-0.3,0.0,0.0,0.1,48.7,33.2,53.2,59.0,77,15.4
prop_pm035,1,iyi,overtime,-132,0.0,0.0,0.0,120,1,1.0,-7,-1.2,0.9,0.1,0.4,-2.0,0.4,0,2.3,-0.4,-0.4,1.2,0.3,0.1,0.0,48.7,33.2,53.2,59.0,77,15.4
prop_pm035,1,iyi,prestige_master,35,0.0,0.0,0.0,375,5.1,1.0,405,29.0,-0.1,-0.1,-0.2,-0.1,0.0,0,0.1,0.0,0.0,-0.2,0.0,0.0,0.1,48.7,33.2,53.2,59.0,77,15.4
prop_pm035,2,zayif,fast_hangar,-45,1.0,23.5,22.5,87,10.6,0.45,8,-0.2,1.5,-0.3,0.1,-0.2,-0.1,0.0,0.0,0.1,-0.2,0.0,0.0,0.1,0.0,53.0,8.7,48.3,86.9,144.7,7.6
prop_pm035,2,zayif,overtime,25,2.0,24.5,22.5,152,4.8,0.79,105,-0.2,1.2,0.4,1.6,-0.7,-1.8,-2.2,-0.4,-0.4,1.7,-0.2,2.8,0.3,0.3,53.0,8.7,48.3,86.9,144.7,7.6
prop_pm035,2,zayif,prestige_master,-70,0.5,23.0,22.5,107,11.0,0.31,18,3.2,0.0,-0.1,-0.2,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.1,53.0,8.7,48.3,86.9,144.7,7.6
prop_pm035,2,orta,fast_hangar,21,0.0,0.0,0.0,192,6.1,1.0,221,-1.1,4.9,-0.7,2.9,-1.2,0.0,0,1.3,0.0,-0.2,-0.2,-0.1,0.2,0.1,56.8,22.7,82.8,113.4,151,12.6
prop_pm035,2,orta,overtime,115,0.0,0.0,0.0,192,3.0,1.0,326,-1.7,2.8,1.1,4.8,-1.7,0.2,0,2.3,-0.2,4.1,-0.2,2.3,0.4,0.5,56.8,22.7,82.8,113.4,151,12.6
prop_pm035,2,orta,prestige_master,357,0.0,0.0,0.0,600,6.3,1.0,949,42.4,-0.1,-0.1,0.0,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,-0.2,0.2,56.8,22.7,82.8,113.4,151,12.6
prop_pm035,2,iyi,fast_hangar,178,0.0,0.0,0.0,192,5.0,1.0,373,-0.9,4.9,0.3,4.5,-0.7,0.0,0,0.7,0.0,0.5,-0.7,0.0,0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
prop_pm035,2,iyi,overtime,95,0.0,0.0,0.0,192,2.4,1.0,293,-2.0,3.2,1.2,4.3,-2.4,0.0,0,2.6,0.0,1.3,-0.1,0.8,0.2,-0.1,61.0,35.7,110.2,129.9,151,15.0
prop_pm035,2,iyi,prestige_master,790,0.0,0.0,0.0,600,5.1,1.0,1389,22.7,0.1,0.1,0.3,-0.2,0.0,0,0.3,0.0,0.0,-0.1,0.1,-0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
prop_pm035,3,zayif,fast_hangar,-7,0.3,55.0,54.8,26,13.5,0.1,17,-0.1,0.2,0.0,0.2,-0.1,0.0,0.0,0.2,0.0,0.1,0.0,-0.1,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
prop_pm035,3,zayif,overtime,16,-1.5,53.2,54.8,108,5.7,0.43,164,-0.3,1.1,0.1,1.8,0.0,-0.2,-0.3,0.3,-0.1,1.7,-0.4,1.2,0.4,0.3,58.3,5.8,51.2,97.2,137.0,7.3
prop_pm035,3,zayif,prestige_master,-15,0.0,54.8,54.8,21,14,0.04,8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
prop_pm035,3,orta,fast_hangar,38,0.0,0.0,0.0,252,6.8,1.0,284,-1.6,6.8,-1.4,3.2,-1.8,0.0,0,1.7,0.0,-0.5,-0.4,-0.1,-0.2,-0.1,63.2,20.7,102.6,129.2,160,14.9
prop_pm035,3,orta,overtime,159,0.0,0.0,0.0,252,3.7,1.0,416,-1.7,3.0,0.5,4.8,-1.6,0.0,0,1.9,0.0,3.7,-0.7,0.7,0.1,0.4,63.2,20.7,102.6,129.2,160,14.9
prop_pm035,3,orta,prestige_master,46,0.0,0.0,0.0,788,7.2,1.0,820,27.4,0.0,-0.3,-1.1,-0.2,0.0,0,0.2,0.0,-0.9,0.2,0.1,-0.4,0.0,63.2,20.7,102.6,129.2,160,14.9
