variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
base,4,orta,acgozlu,on,3,40000,0,0.1079,nan,1.163
base,4,orta,acgozlu,on,5,40000,0,0.2269,nan,0.581
base,4,orta,acgozlu,on,8,40000,0,0.2249,nan,0.205
base,4,orta,acgozlu,on,12,40000,0,0.4239,nan,0.384
base,4,orta,acgozlu,off,3,40000,0,0.0965,nan,1.163
base,4,orta,acgozlu,off,5,40000,0,0.2075,nan,0.556
base,4,orta,acgozlu,off,8,40000,0,0.2331,nan,0.187
base,4,orta,acgozlu,off,12,40000,0,0.406,nan,0.372
base,4,orta,hic,on,3,40000,5,0.1546,0.8054,1.31
base,4,orta,hic,on,5,40000,5,0.2781,0.9553,0.864
base,4,orta,hic,on,8,39999,4,0.4682,0.9645,0.537
base,4,orta,hic,on,12,39995,0,0.7384,nan,0.788
base,4,orta,hic,off,3,40000,1,0.1631,0.7247,1.31
base,4,orta,hic,off,5,40000,1,0.2805,0.9542,0.839
base,4,orta,hic,off,8,40000,1,0.4683,0.9495,0.484
base,4,orta,hic,off,12,39999,0,0.7408,nan,0.751
base,4,orta,mantikli,on,3,40000,5,0.0861,0.7,1.266
base,4,orta,mantikli,on,5,40000,5,0.2948,0.8735,0.616
base,4,orta,mantikli,on,8,39997,2,0.2289,0.6904,0.189
base,4,orta,mantikli,on,12,39995,0,0.4633,nan,0.4
base,4,orta,mantikli,off,3,40000,9,0.0778,0.7479,1.264
base,4,orta,mantikli,off,5,40000,9,0.2729,0.9256,0.588
base,4,orta,mantikli,off,8,39997,6,0.2179,0.6422,0.168
base,4,orta,mantikli,off,12,39991,0,0.4469,nan,0.384
base,4,zayif,acgozlu,on,3,40000,1190,0.103,0.7168,0.796
base,4,zayif,acgozlu,on,5,40000,1190,-0.0145,0.5716,0.32
base,4,zayif,acgozlu,on,8,40000,1190,-0.1954,0.2309,0.141
base,4,zayif,acgozlu,on,12,39594,784,0.266,0.7794,0.264
base,4,zayif,acgozlu,off,3,40000,1364,0.1339,0.7174,0.796
base,4,zayif,acgozlu,off,5,40000,1364,-0.0305,0.5364,0.298
base,4,zayif,acgozlu,off,8,40000,1364,-0.2046,0.2609,0.139
base,4,zayif,acgozlu,off,12,39451,815,0.2982,0.7876,0.27
base,4,zayif,hic,on,3,40000,24875,0.1999,0.6445,0.934
base,4,zayif,hic,on,5,40000,24875,0.2386,0.6655,0.366
base,4,zayif,hic,on,8,35538,20413,0.0573,0.4903,0.126
base,4,zayif,hic,on,12,17476,2351,0.3729,0.6583,0.119
base,4,zayif,hic,off,3,40000,26662,0.1894,0.6392,0.936
base,4,zayif,hic,off,5,40000,26662,0.2122,0.6447,0.345
base,4,zayif,hic,off,8,34900,21562,-0.0005,0.4822,0.122
base,4,zayif,hic,off,12,15302,1964,0.3922,0.6702,0.112
base,4,zayif,mantikli,on,3,40000,25847,0.1867,0.6172,0.934
base,4,zayif,mantikli,on,5,40000,25847,0.1826,0.6202,0.337
base,4,zayif,mantikli,on,8,35426,21273,-0.0525,0.4669,0.122
base,4,zayif,mantikli,on,12,16277,2124,0.2766,0.6598,0.113
base,4,zayif,mantikli,off,3,40000,27503,0.1779,0.6138,0.936
base,4,zayif,mantikli,off,5,40000,27503,0.1467,0.5947,0.315
base,4,zayif,mantikli,off,8,34777,22280,-0.0475,0.4899,0.119
base,4,zayif,mantikli,off,12,14347,1850,0.2727,0.6641,0.103
