variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
sens_fast,4,orta,hic,on,8,10000,0,0.4584,nan,0.659
sens_fast,4,orta,hic,on,12,10000,0,0.7296,nan,1.019
sens_fast,4,orta,mantikli,on,3,10000,0,0.0642,nan,1.311
sens_fast,4,orta,mantikli,on,5,10000,0,0.2984,nan,0.691
sens_fast,4,orta,mantikli,on,8,10000,0,0.2784,nan,0.215
sens_fast,4,orta,mantikli,on,12,10000,0,0.485,nan,0.497
sens_fast,4,zayif,acgozlu,on,3,10000,8,-0.0538,0.7815,0.907
sens_fast,4,zayif,acgozlu,on,5,10000,8,-0.0464,0.8093,0.352
sens_fast,4,zayif,acgozlu,on,8,10000,8,0.0862,0.1161,0.133
sens_fast,4,zayif,acgozlu,on,12,9994,2,0.4975,0.8742,0.209
sens_fast,4,zayif,hic,on,3,10000,1790,0.1881,0.6695,1.047
sens_fast,4,zayif,hic,on,5,10000,1790,0.2346,0.7128,0.466
sens_fast,4,zayif,hic,on,8,9701,1491,0.1888,0.538,0.138
sens_fast,4,zayif,hic,on,12,8283,73,0.5309,0.7867,0.16
sens_fast,4,zayif,mantikli,on,3,10000,2013,0.2326,0.6316,1.045
sens_fast,4,zayif,mantikli,on,5,10000,2013,0.1567,0.6309,0.382
sens_fast,4,zayif,mantikli,on,8,9668,1681,0.0353,0.4864,0.13
sens_fast,4,zayif,mantikli,on,12,8044,57,0.3344,0.7839,0.157
