{'card': 'forecast', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 76, 'd_final_money': 5, 'd_income_gross': 27, 'gain_per_active_day': 1.8, 'payback_days': 41.87, 'lose_with': 0.2027, 'lose_without': 0.1753}
{'card': 'forecast', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 76, 'd_final_money': 95, 'd_income_gross': 143, 'gain_per_active_day': 9.6, 'payback_days': 8.03, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'forecast', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.94, 'buy_day_mean': 3.5, 'cost_mean': 123, 'd_final_money': 69, 'd_income_gross': 129, 'gain_per_active_day': 10.3, 'payback_days': 11.95, 'lose_with': 0.1667, 'lose_without': 0.1893}
{'card': 'forecast', 'P': 2, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 2.43, 'cost_mean': 122, 'd_final_money': 230, 'd_income_gross': 286, 'gain_per_active_day': 21.1, 'payback_days': 5.78, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'forecast', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.689, 'buy_day_mean': 4.43, 'cost_mean': 166, 'd_final_money': 74, 'd_income_gross': 153, 'gain_per_active_day': 13.2, 'payback_days': 12.57, 'lose_with': 0.384, 'lose_without': 0.4267}
{'card': 'forecast', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.23, 'cost_mean': 161, 'd_final_money': 414, 'd_income_gross': 471, 'gain_per_active_day': 36.9, 'payback_days': 4.38, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'forecast', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.475, 'buy_day_mean': 5.92, 'cost_mean': 199, 'd_final_money': 62, 'd_income_gross': 143, 'gain_per_active_day': 14.2, 'payback_days': 13.99, 'lose_with': 0.5247, 'lose_without': 0.5427}
{'card': 'forecast', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.53, 'cost_mean': 194, 'd_final_money': 582, 'd_income_gross': 642, 'gain_per_active_day': 51.5, 'payback_days': 3.78, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'emergency_brake', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 86, 'd_final_money': 57, 'd_income_gross': 13, 'gain_per_active_day': 0.9, 'payback_days': 96.45, 'lose_with': 0.0127, 'lose_without': 0.1753}
{'card': 'emergency_brake', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 86, 'd_final_money': -88, 'd_income_gross': 4, 'gain_per_active_day': 0.3, 'payback_days': 268.83, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'emergency_brake', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 138, 'd_final_money': 180, 'd_income_gross': 107, 'gain_per_active_day': 7.2, 'payback_days': 19.28, 'lose_with': 0.004, 'lose_without': 0.1893}
{'card': 'emergency_brake', 'P': 2, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 138, 'd_final_money': -143, 'd_income_gross': -1, 'gain_per_active_day': -0.1, 'payback_days': '', 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'emergency_brake', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 181, 'd_final_money': 656, 'd_income_gross': 616, 'gain_per_active_day': 41.1, 'payback_days': 4.43, 'lose_with': 0.0153, 'lose_without': 0.4267}
{'card': 'emergency_brake', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 181, 'd_final_money': -211, 'd_income_gross': -27, 'gain_per_active_day': -1.8, 'payback_days': '', 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'emergency_brake', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 216, 'd_final_money': 1171, 'd_income_gross': 1510, 'gain_per_active_day': 100.7, 'payback_days': 2.15, 'lose_with': 0.0133, 'lose_without': 0.5427}
{'card': 'emergency_brake', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 216, 'd_final_money': -238, 'd_income_gross': -25, 'gain_per_active_day': -1.7, 'payback_days': '', 'lose_with': 0.0, 'lose_without': 0.0}
