event,catalog,P,profile,dayRange,eventDays,net_income_day,base_income_day,d_income_pct,lost_day,d_lost,delivered_day,served_day,spawn_fill,penalty_day,run_lose,run_lose_base
FESTIVAL DAY,new,2,orta,1-15,24000,485.0,354.8,36.7,2.06,0.02,4.97,6.92,0.999,21.7,0.0,0.0
RUSH BONUS,new,2,orta,1-15,24000,445.9,354.8,25.7,2.04,0.0,4.98,6.93,0.999,21.7,0.0,0.0
RAINY DAY,new,2,orta,1-15,24000,290.0,354.8,-18.3,1.65,-0.39,4.19,5.65,1.0,18.0,0.0,0.0
HEAVY BOXES,new,2,orta,1-15,24000,316.8,354.8,-10.7,2.38,0.34,4.54,6.6,0.999,20.0,0.0,0.0
FATIGUE PROBLEM,new,2,orta,1-15,24000,329.0,354.8,-7.3,2.29,0.25,4.69,6.68,0.999,20.5,0.0,0.0
SLOW LOGISTICS,new,2,orta,1-15,24000,320.8,354.8,-9.6,2.04,0.0,4.92,6.93,0.999,21.6,0.0,0.0
MIXED SHIPMENT,new,2,orta,5-11,12000,348.0,316.7,9.9,2.32,0.14,5.05,6.74,0.999,21.8,0.0,0.0
SURPRISE AUDIT,new,2,orta,1-15,24000,314.5,354.8,-11.3,2.04,0.0,4.98,6.93,0.999,43.4,0.0,0.0
IMPATIENT DRIVERS,new,2,orta,1-15,24000,359.4,354.8,1.3,2.01,-0.03,5.05,6.96,0.999,21.7,0.0,0.0
RETURN WAVE,new,2,orta,5-15,17976,229.2,415.6,-44.8,5.0,2.6,3.33,4.85,1.0,14.6,0.006,0.0
BUSY DAY,new,2,orta,1-15,24000,372.6,354.8,5.0,3.47,1.43,5.27,8.57,0.995,23.1,0.0,0.0
ANGRY CUSTOMERS,new,2,orta,1-15,24000,340.2,354.8,-4.1,3.4,1.36,4.94,6.58,0.999,21.8,0.0,0.0
MARKETING DAY,new,2,orta,1-15,24000,283.4,354.8,-20.1,2.61,0.57,5.2,8.02,0.998,22.9,0.0,0.0
SUPPLY STRIKE,new,2,orta,1-15,23988,230.0,354.8,-35.2,1.41,-0.63,3.71,4.91,1.0,16.3,0.003,0.0
(yok),old,3,zayif,1-15,21117,269.3,269.3,0.0,2.12,0.0,3.51,6.76,0.996,33.0,0.542,0.542
BUSY DAY,old,3,zayif,1-15,20862,265.9,269.3,-1.3,2.63,0.51,3.59,6.71,0.788,33.2,0.5925,0.542
DELIVERY BONUS,old,3,zayif,1-15,22812,335.3,269.3,24.5,2.19,0.07,3.67,6.86,0.996,34.4,0.2195,0.542
ANGRY CUSTOMERS,old,3,zayif,1-15,20823,269.2,269.3,-0.1,3.23,1.11,3.61,6.16,0.961,33.3,0.5735,0.542
RELAXED DAY,old,3,zayif,1-15,21222,270.6,269.3,0.5,1.67,-0.46,3.48,7.18,0.995,32.6,0.522,0.542
SLOW LOGISTICS,old,3,zayif,1-15,19872,231.8,269.3,-14.0,2.04,-0.08,3.3,6.71,0.995,31.0,0.75,0.542
EXPRESS CARGO,old,3,zayif,1-15,21855,293.6,269.3,9.0,2.16,0.03,3.58,6.8,0.996,33.6,0.409,0.542
HEAVY BOXES,old,3,zayif,1-15,19290,219.8,269.3,-18.4,2.5,0.38,2.96,6.16,0.994,27.6,0.804,0.542
GOLDEN BOX DAY,old,3,zayif,1-15,22794,329.8,269.3,22.4,2.26,0.13,3.77,7.16,0.92,35.1,0.224,0.542
OPPORTUNITY DAY,old,3,zayif,1-15,21117,269.3,269.3,0.0,2.12,0.0,3.51,6.76,0.996,33.0,0.542,0.542
FATIGUE PROBLEM,old,3,zayif,1-15,18270,193.1,269.3,-28.3,1.91,-0.21,2.62,5.53,1.0,24.2,0.919,0.542
VIP SERVICE,old,3,zayif,1-15,22197,307.8,269.3,14.3,2.17,0.05,3.61,6.82,0.996,33.8,0.34,0.542
SURPRISE AUDIT,old,3,zayif,1-15,19089,208.9,269.3,-22.4,2.02,-0.11,3.32,6.65,0.995,62.2,0.8535,0.542
RAINY DAY,old,3,zayif,1-15,17820,189.3,269.3,-29.7,1.48,-0.64,2.57,5.28,1.0,24.2,0.927,0.542
MARKETING DAY,old,3,zayif,1-15,17841,172.3,269.3,-36.0,2.08,-0.04,3.24,6.8,0.876,30.0,0.9595,0.542
CUSTOMER SUPPORT,old,3,zayif,1-15,21447,279.6,269.3,3.8,2.05,-0.07,3.61,6.91,0.997,34.1,0.4895,0.542
FESTIVAL DAY,old,3,zayif,1-15,24000,522.8,269.3,94.1,2.26,0.13,3.78,6.9,0.996,35.4,0.0,0.542
DELIVERY BONUS,new,3,zayif,1-15,22812,335.3,269.3,24.5,2.19,0.07,3.67,6.86,0.996,34.4,0.2195,0.542
EXPRESS CARGO,new,3,zayif,1-15,22254,328.1,269.3,21.8,2.25,0.13,3.88,6.76,0.996,36.3,0.299,0.542
RELAXED DAY,new,3,zayif,1-15,22119,300.8,269.3,11.7,1.5,-0.62,3.54,7.39,0.994,16.2,0.3415,0.542
OPPORTUNITY DAY,new,3,zayif,1-15,21117,269.3,269.3,0.0,2.12,0.0,3.51,6.76,0.996,33.0,0.542,0.542
CUSTOMER SUPPORT,new,3,zayif,1-15,21942,294.4,269.3,9.3,2.0,-0.12,3.77,7.01,0.997,34.9,0.3845,0.542
MONOCHROME DAY,new,3,zayif,1-15,23550,359.7,269.3,33.5,2.37,0.24,4.29,7.01,0.996,14.4,0.093,0.542
QUEST DAY,new,3,zayif,1-15,21774,279.1,269.3,3.6,2.15,0.03,3.57,6.8,0.996,33.4,0.4155,0.542
GOLDEN BOX DAY,new,3,zayif,1-15,22890,358.5,269.3,33.1,2.2,0.08,3.7,6.86,0.996,34.5,0.1785,0.542
VIP SERVICE,new,3,zayif,1-7,12000,225.6,194.5,16.0,2.16,0.82,3.27,5.59,0.987,30.8,0.2455,0.542
FESTIVAL DAY,new,3,zayif,1-15,24000,522.8,269.3,94.1,2.26,0.13,3.78,6.9,0.996,35.4,0.0,0.542
RUSH BONUS,new,3,zayif,1-15,22953,342.7,269.3,27.2,2.2,0.08,3.68,6.86,0.996,34.5,0.198,0.542
RAINY DAY,new,3,zayif,1-15,17820,189.3,269.3,-29.7,1.48,-0.64,2.57,5.28,1.0,24.2,0.927,0.542
HEAVY BOXES,new,3,zayif,1-15,19290,219.8,269.3,-18.4,2.5,0.38,2.96,6.16,0.994,27.6,0.804,0.542
